dst_node,L1,comb,n_nodes,selected
rgb,1.74,our_median,10,0
rgb,1.77,our_median,10,1
rgb,1.64,our_median,9,0
rgb,1.46,our_median,9,1
rgb,1.78,our_median,8,0
rgb,1.6,our_median,8,1
rgb,1.32,our_median,7,0
rgb,1.24,our_median,7,1
rgb,1.25,our_median,6,0
rgb,1.13,our_median,6,1
rgb,1.62,our_median,5,0
rgb,0.8,our_median,5,1
rgb,1.46,our_median,4,0
rgb,0.84,our_median,4,1
rgb,0.74,our_median,3,0
rgb,0.39,our_median,3,1
rgb,0.73,our_median,2,0
rgb,0.38,our_median,2,1
rgb,0,our_median,1,0
rgb,0,our_median,1,1
rgb,4.3,simple_mean,12,0
rgb,4.3,simple_mean,12,1
rgb,4.25,simple_mean,11,0
rgb,3.55,simple_mean,11,1
rgb,4.06,simple_mean,10,0
rgb,3.3,simple_mean,10,1
rgb,4.25,simple_mean,9,0
rgb,2.99,simple_mean,9,1
rgb,4.2,simple_mean,8,0
rgb,2.83,simple_mean,8,1
rgb,4.04,simple_mean,7,0
rgb,2.47,simple_mean,7,1
rgb,4.05,simple_mean,6,0
rgb,2.13,simple_mean,6,1
rgb,4.64,simple_mean,5,0
rgb,1.75,simple_mean,5,1
rgb,4.31,simple_mean,4,0
rgb,1.46,simple_mean,4,1
rgb,4.73,simple_mean,3,0
rgb,1.13,simple_mean,3,1
rgb,1.5,simple_mean,2,0
rgb,0.7,simple_mean,2,1
rgb,1.94,simple_mean,1,0
rgb,0.56,simple_mean,1,1
